date,N2,CH4,CO2
1552701729000,1901.14,2035630.0,763467.0
1552701852000,1898.02,2049030.0,763326.0
1552701975000,1900.58,2028860.0,763288.0
1552702094000,1934.64,2037700.0,763423.0
1552702216000,1888.7,2028600.0,763464.0
1552702338000,1896.72,2042280.0,763618.0
1552702460000,1908.08,2045090.0,763530.0
1552702582000,1907.44,2041730.0,763372.0
1552702705000,1911.86,2045460.0,764179.0
1552702826000,1913.24,2048510.0,763710.0
1552702948000,1889.84,2029760.0,763667.0
1552703069000,1909.48,2036100.0,763256.0
1552703190000,1909.46,2047020.0,763544.0
1552703312000,1894.34,2041450.0,763220.0
1552703433000,1891.96,2034780.0,763619.0
1552703554000,1912.14,2045080.0,763810.0
1552703676000,1920.74,2055850.0,764212.0
1552703797000,1914.44,2050480.0,762505.0
1552703918000,1913.08,2044580.0,763442.0
1552704039000,1910.98,2045160.0,763880.0
1552704160000,1906.34,2043920.0,762947.0
1552704281000,1902.62,2043130.0,763725.0
1552704403000,1890.3,2034870.0,763114.0
1552704523000,1902.06,2035550.0,763710.0
1552704644000,1909.56,2044690.0,763374.0
1552704767000,1895.66,2037210.0,763324.0
1552704888000,1893.02,2036500.0,763364.0
1552705009000,1899.94,2044620.0,763116.0
1552705130000,1912.22,2041790.0,763588.0
1552705252000,1918.2,2042960.0,763895.0
1552705373000,1904.78,2037580.0,762953.0
1552705495000,1894.7,2047340.0,763218.0
1552705616000,1906.2,2043840.0,763732.0
1552705737000,1917.74,2050110.0,764022.0
1552705857000,1905.36,2048430.0,762830.0
1552705979000,1916.94,2044870.0,764221.0
1552706099000,1915.32,2043060.0,764014.0
1552706220000,1893.28,2036610.0,762887.0
1552706342000,1907.0,2037770.0,763355.0
1552706464000,1892.24,2041040.0,763966.0
1552706585000,1910.24,2043210.0,764056.0
1552706706000,1909.0,2046180.0,763983.0
1552706827000,1897.56,2045180.0,763167.0
1552706948000,1909.08,2044500.0,764750.0
1552707069000,1900.94,2038710.0,762996.0
1552707191000,1900.9,2034580.0,763093.0
1552707311000,1915.74,2041830.0,763435.0
1552707431000,1908.68,2042770.0,764445.0
1552707552000,1889.86,2044370.0,763466.0
1552707673000,1900.34,2045020.0,763186.0
1552707794000,1906.44,2047250.0,762888.0
1552707915000,1910.22,2046450.0,763621.0
1552708036000,1908.44,2045840.0,763499.0
1552708156000,1914.68,2053900.0,763990.0
1552708278000,1902.52,2042330.0,762781.0
1552708399000,1902.24,2054650.0,764186.0
1552708519000,1918.5,2051230.0,764078.0
1552708641000,1919.4,2049310.0,764410.0
1552708762000,1904.22,2044920.0,762895.0
1552708883000,1909.38,2049900.0,763511.0
1552709004000,1921.1,2063720.0,763422.0
1552709125000,1921.2,2062720.0,764190.0
1552709246000,1938.86,2065520.0,763904.0
1552709366000,1913.24,2064000.0,763908.0
1552709488000,1912.22,2059580.0,763631.0
1552709609000,1917.1,2067370.0,763431.0
1552709730000,1939.24,2063450.0,763376.0
1552709850000,1914.86,2064300.0,764013.0
1552709972000,1932.7,2063900.0,764198.0
1552710092000,1916.4,2059470.0,763018.0
1552710213000,1932.38,2062670.0,763888.0
1552710335000,1903.34,2061700.0,764450.0
1552710456000,1918.0,2060330.0,763785.0
1552710577000,1913.94,2062290.0,763755.0
1552710697000,1918.64,2063800.0,763763.0
1552710818000,1915.68,2068580.0,763487.0
1552710939000,1915.62,2062480.0,763429.0
1552711061000,1926.64,1747860.0,763924.0
1552711181000,1915.82,2062000.0,763478.0
1552711303000,1921.18,2062920.0,763605.0
1552711424000,1939.38,2067420.0,763878.0
1552711544000,1926.94,2063870.0,763930.0
1552711665000,1915.78,2065670.0,763799.0
1552711786000,1919.28,2062980.0,763828.0
1552711907000,1924.38,2062160.0,764072.0
1552712028000,1927.94,2065470.0,763254.0
1552712149000,1911.18,2066230.0,763444.0
1552712269000,1926.96,2063640.0,764116.0
1552712390000,1929.12,2062480.0,763783.0
1552712510000,1917.72,2059240.0,763467.0
1552712630000,1925.56,2062310.0,764608.0
1552712751000,1918.58,2061680.0,763142.0
1552712874000,1926.34,2062400.0,763168.0
1552712994000,1925.0,2064840.0,763758.0
1552713114000,1920.78,2065560.0,763602.0
1552713234000,1922.46,2068290.0,763504.0
1552713356000,1885.6,2061660.0,763340.0
1552713477000,1929.88,2066540.0,763734.0
1552713597000,1925.08,2067660.0,763225.0
1552713717000,1932.5,2068320.0,763270.0
1552713840000,1922.24,2064650.0,763488.0
1552713961000,1925.5,2065350.0,763825.0
1552714082000,1917.86,2064450.0,763400.0
1552714204000,1916.84,2063220.0,762999.0
1552714324000,1923.34,2068540.0,763682.0
1552714444000,1924.48,1750490.0,763839.0
1552714564000,1920.4,2065340.0,764020.0
1552714684000,1918.36,2066170.0,763685.0
1552714805000,1942.78,2071620.0,763790.0
1552714925000,1929.72,2063160.0,763363.0
1552715048000,1932.98,2069600.0,763476.0
1552715169000,1930.62,2070720.0,763883.0
1552715289000,1924.1,2066480.0,763520.0
1552715410000,1918.18,2062050.0,763795.0
1552715531000,1934.76,2063600.0,763809.0
1552715655000,1916.54,2062220.0,763209.0
